ASV_ID,domain,phylum,class,order,family,genus,species
9ccb6885ee69b3b8dd23d2328c713978,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,
d064ecbc23ab13612fcb57cae2e75057,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
ed655edeccd319d85344a9365a19ad63,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__uncultured_Flavobacteriaceae
a929ca38f82197ded7c982d862ab802b,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,,
19aa9bf6b0706b49b846ae2e516abdc9,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
2be7c8668b97177238726f6872f0a3d5,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,s__Dictyopteris_undulata
c31f37e530cc93b758dee39e4ee50db7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
eea6140bc4665b54fd4024b423b99a87,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Macellibacteroides,s__uncultured_bacterium
6ba115272ee080b2cf1e38f63ebb6439,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,
0c150eed135cd1f5879aad959eb46cee,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,,,
a39774db0fc643027fce6c683a40501d,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,
76788b5b5590b3b01c550115c88a5d55,Unassigned,,,,,,
df0d100ec25b27f923d9c352a54f91be,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
7e79b0f12b81f9fc410e261f95d5eb87,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Breznakia,s__uncultured_bacterium
b19a92beca6e3fe2ef26784dfafd8149,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,,
d9e12b11154e72c0b5f46b489336a383,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__uncultured,
17f439520b32433ef5a35e34108b5911,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__uncultured_Flavobacteriaceae
896170fa4b22beac271ed037d8d86fc2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
13612d43570944f3f65a1eca36f5493c,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Phormidiaceae,g__Trichodesmium_IMS101,
a4e8843e3d4ca02a1497ef6cb6a89d19,Unassigned,,,,,,
b231a0f9b38ff03e085f02e86fa2fa77,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Microbulbiferaceae,g__Microbulbifer,
fd755c1236838e01ff25c47e376fb895,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Phormidiaceae,g__Trichodesmium_IMS101,
68bb6e62abbf294333dc2c6129a1015c,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__uncultured_bacterium
736b95cdb5b23f71e5f0e39ed45f04d1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia-Shigella,
e8fe17fe23fb70e6c607b284ed75ba4d,d__Eukaryota,,,,,,
f61cbb13cb9a7b18cb17bd32a3c83dfc,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,,,
7b6dbbb9467e8ec7985e62c890bdfdd1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
138566fe563d33c400731f593486967f,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,
789f2cddaf1998cc66006f53c5743959,Unassigned,,,,,,
5c7960c7b31f00b25ac70ca97771c6e8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,
0d5fdb8446c24419598cd38e0de1a124,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,,
6ec176418d9961b8b61d8e0eb55b1e14,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,
a107fcf61d83fb712e0dcb3bcf3cc8d3,Unassigned,,,,,,
546dafcd52a29eb7e7a96a39f3bfefcd,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Rubritalea,s__Rubritalea_sp.
1a8aea6c0210a7cdd9a835dd04236220,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pir4_lineage,
6f775be5cdcd79bf486213e0f762cea9,Unassigned,,,,,,
268d80228fcda37f887ec709b138716c,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Simkaniaceae,g__uncultured,s__jellyfish_metagenome
899c9fc449657b476f736a1ed73c9467,d__Eukaryota,,,,,,
1d92e929de891cb477d8f4d973ca3ea2,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Romboutsia,
bb809ead1b1d1b67139830ec8801eee2,d__Eukaryota,,,,,,
d425c04bb14b8e9ed74c6cbf73786faf,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
96eee0d4c933340c484cffcb8954d73a,d__Bacteria,p__Firmicutes,c__Bacilli,o__Entomoplasmatales,f__Entomoplasmatales_Incertae_Sedis,g__Candidatus_Hepatoplasma,s__uncultured_Candidatus
0bad54218d4799f4be18d975c98f6eb3,Unassigned,,,,,,
a44f9b8ada183e0c8f8b902f753b6fb9,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,,,
6b6e01da347f5f03f4451331df1a0814,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pir4_lineage,s__uncultured_bacterium
89f624b1da5fffc6d35fe2647dc8781a,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,s__Chloropicon_primus
2cbee44a97416cb5b38af576beb945c2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__EC3,f__EC3,g__EC3,s__uncultured_bacterium
22e36956371f9e71ecce60fe65419b25,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Roseitalea,
ab1616f20b7dcbc7c430cd9d486939ad,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,
944be6974bfa6f1ef20284e1deba6668,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,
e05be6daeb3dd78d62d84d758566da5f,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,
d376e577d9c602f93662877d4ad87f9e,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Rhodopirellula,s__planctomycete_MS3057
a5d24c512fd5e68f3b75fd081ee5fd35,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Romboutsia,
5fea9a4718173a278f40abe8e21046db,Unassigned,,,,,,
66e82bb213f36cd0279d04c6663b6665,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Blastopirellula,
8059bfbac07d0a26e7819cb8681141e5,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,
d70ea236fad09027d08e73c60fd0dd4e,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,s__Minutocellus_sp.
d2a55f74f384c59d212f18537fb77d19,Unassigned,,,,,,
aa21203b44c0ecf567ce106411963230,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Blastopirellula,s__uncultured_planctomycete
fc0bf3c024a31a48db424c339748b62e,Unassigned,,,,,,
57cb66b3c6ed47d99cfa5d5ce5894eda,Unassigned,,,,,,
c44ef872eb41f7c29d56b6ff3a730f4d,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,,
67f0e1ed01a0894c8b33d34005695d57,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__DEV007,g__DEV007,s__uncultured_bacterium
