ASV_ID,Mars2,Mars4,Mars5,Mars6,Neg,Nurs2,Nurs3,Nurs4,Nurs5,Nurs6,Par1_6m,Par2_0,Par2_6m,Par3_0,Par3_6m,Par4_0,Par4_6m,Par5_0,Par5_6m,Par6_0,Reb1,Reb2,Reb3,Reb4,Reb5,Reb6
ae2ee234b7cb2b82ab6a4f216ae2a681,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
3324a4463fb2124d680f0d616251d823,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c0714d1c68074fc33bf9d4540b7e2de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
82d98c42f67d45ea41e33fb756b42c70,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,23,0
9952a04949239f99c61662bd65b7b3c9,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4df484cb21c678cfcff68e02b29efed4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feca08205ab77ee17fcefe936ee33305,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4ee6d44c7637ba8e51a558a424bc17f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
5df59afc468dc0016761b156b2428c7d,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e06157203c38970605a4bd968975da7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5201ab947054e80bf502b4574c8c3836,0,0,0,0,0,0,0,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66491bbc0c90315e1a1c95976a61cd47,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78639290d5d97ff3a738d2c24ddc3944,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b509946484be1ffc16f43c3e628364d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,0,0,47
06fc64e95a34789b660b76b726c03549,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,15,6,0,0,0,33,0,0,0
07f4fc3e25a3581eb1d33353f7d71d2a,98,12,170,0,0,174,0,12,0,3,394,89,7,12,4,0,36,28,0,0,40,6,0,43,184,3
f660ec6f93a64436dc18465fdb0b867f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,24
33e667101b72c662285588c284bd2a1a,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18f7cf28ae8abf71e3f272b64b2feb54,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
96eee0d4c933340c484cffcb8954d73a,0,0,0,0,0,12,7,0,0,341,0,0,0,0,150,0,0,0,0,0,1221,0,0,0,0,316
7c3871901d4bd247762de4549885b835,0,0,116,0,0,0,8,183,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3501699d36af7140af49ad5e62e1f543,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd202e4c8b0cff19181b472d1be16275,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707ed1bab5449f4a4f44e0ed85ea173f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
037078d16455ba1c747c7d293e0e042e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
04b769759c9b10acdd6015b6bdc7ba57,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
20a58f7cba275b232eaadfe2c5705adb,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880e9fdc8e922fb75c35610e9cf91cfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
c15c93c05d3f83f96797c750ac39ef3d,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
09b39ed24314bc719e8dc7b5402d964e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
4d8e3df31f83cc47d4cf80b5ce86a235,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e61d952660c07c6284361954f62eeae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0
0a8d0de540fc51878c22fa8ba4a1539a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0
