KEGG_ID,MARS2_S1,MARS4_S14,MARS5_S2,NURS2_S4,NURS4_S5,NURS5_S6,Par1_6m_S7,Par1_T0_S15,Par2_6m_S8,Par2_T0_S9,Par3_6m_S10,Par3_T0_S11,REBAR2_S12,REBAR4_S13,REBAR5_S16
K14651,0.645579571,2.702810862,0,0.04846644,0.370779916,0.08346089,0,0.493633545,0.265995106,4.020234624,0.443509808,0,0.767851741,7.566441709,0.609223872
K14652,0.010891001,2.107762317,0,0.099576504,0.096814756,0,0.978711673,0.530139131,0.070111574,0.061874388,0.042873922,0.188764716,0,0.167462408,0.050223208
K14657,0.005303298,0.087187447,0,0,0.017846038,0,0,0,0.025605264,0.020391503,0.023116354,0,0,0.051465751,0
K14664,0.56137354,12.22857109,1.013574566,0.667891188,0.991760912,0.402546119,0,1.277639764,1.050284197,6.718378667,1.177595007,0.366594891,0.824729648,45.17165701,0.561438297
K14674,0.676950445,0,0.814834455,0.281889369,0.227799425,0.13869236,0,0.595263981,0.16342183,1.350262379,0.516378559,0.757834817,0.582998544,0.127739339,0.622866252
K14677,0.379986335,0.223109387,0,0.142084399,0.045667338,0.20018803,0,0.494181418,0.229330162,0.203506242,0.340134799,0.324105456,0.291499272,0.029266425,0.451693
K14682,0.016095325,1.338130329,0,0.034994938,0.24123278,0,0,1.043750542,0.27781711,0.038679687,0.03670426,0,0,0.185362124,0.014220213
K14683,12.09177774,3.656946727,12.04914779,8.37988334,2.318811348,6.399430918,0.940156364,19.37934053,12.24459257,6.334802428,8.970578373,4.075672612,10.82083332,5.522262048,10.51158163
K14686,0.203298683,0.074604401,0.021848873,0.336895271,0.012216373,0.148755213,0,0.413116959,0.03943776,0.143078238,0.156263273,0.027093989,0.077242709,0.148750993,0.612871004
K14708,0.72294836,0,0,0.175535505,0.049648593,1.088201598,0,0.76315895,0.213705469,0.184373176,0.257243531,0.385394629,0.298973612,0.111362501,0.708276006
K14714,3.271234973,0.23948957,3.518015423,3.499941044,0.147060388,1.523799035,0,4.211578687,2.445853985,4.287007955,2.808176126,1.567795838,3.147476802,7.638237803,1.987669806
K14727,0,0,0,0,0,0,0,0.068030169,0,0,0,0.245394131,0,0.070908368,0
K14729,0.277159816,0,0,0.100358519,0.030413012,0,0,0.099730091,0.247271774,0.217620798,0.210104664,0.089935022,0.402909989,0.122055388,0.231394883
K14731,1.678272978,0.42675961,0.416160086,0.55091143,0.329155858,0.406984387,0,2.226075953,0.410972057,0.576029805,0.80726208,1.004181476,0.641643368,0.59847049,1.430423641
K14742,0.020550281,0,0,0,0.088516348,0,0,0.51022627,0.049610198,0.01755935,0.019905749,0.076685666,0,0.17727092,0.058460877
K14754,0.582098668,0.985399793,0.432880804,0.343152114,0.030254611,0.763032404,0,1.315118098,0.452260412,0.630298998,0.335388732,0.107629005,0.345480619,0.39424314,0.995704291
K14755,0.930446782,0,0.294727356,0.233051393,0.411977684,0,0,1.367840637,0.650210258,0.847332044,0.560325671,0.365480621,1.68697451,0.422432831,1.097074323
K14761,0,0,0,0,0.074472889,0.120911289,0,0.030526358,0.035617578,0,0,0,0,0.079544644,0
K14762,0,0.476966623,0,0,0.113899713,0,0,0.06002662,0.046691951,0,0,0,0.039193179,0.020855402,0
K14777,0.505236186,0,1.520361848,0.233761916,0,1.092625181,0,1.132453428,0.033880135,0.741989612,0.519977016,0.104741397,1.308191855,0.196727484,0.404235574
K14778,0.808311067,0.434935081,0.494720919,0.57049039,0.184409059,0.589442532,0.891527587,1.303911578,0.975667232,0.704568924,0.664354388,0.715732883,0.694045886,0.184657208,1.019411537
K14786,0.930563937,0.35144909,1.193011211,0.563393381,0.111174839,0.225623936,0,0.900016354,0.584878127,0.449905837,0.510025303,0.22602091,0.758734947,0.18405641,0.819431283
K14787,0.538284789,0,0,0.574170973,0.187383398,0.304228404,0,0.614466045,0.896184227,0.499591833,0.485443438,0.415586835,0.52657933,0.340245798,0.801951219
K14792,1.774692117,0.174535757,0.204460306,1.537736516,0.65240181,1.221040017,0,2.622761386,1.836113083,1.323664013,1.148428465,0.592765559,1.309543166,0.755794376,1.463668428
K14802,3.862533779,0.600210412,2.725777514,2.696162536,0.505245992,3.002129667,0.42852431,3.437856591,2.668773018,2.043611288,2.172793679,0.274801456,3.038281182,0.9314264,3.495033917
K14803,0.153442101,0,0,0.36511385,0,0,0,0,0,0.368746353,0.125406222,0,0,0,0
K14806,0.649872427,0,1.140768236,0.805398198,0.410038965,0.499292498,0,1.624720513,0.915162246,0.924034978,0.531132232,1.566191955,0.713315866,0.467161013,0.34663861
K14808,1.338771339,0,0.480026238,0.345236591,0.221924941,1.107949287,0,1.623757335,0.541305544,0.906545474,0.582114839,1.033608518,1.242839303,0.547558888,0.91812053
K14809,0.999059833,0.707718555,0.207264624,1.673059099,0.246261972,0.823161641,0,0.884731503,0.672026426,4.232395969,0.425317859,0.396241147,0.796716215,5.037198262,0.330646554
K14811,1.079153237,0,1.319255784,1.444406438,0.269520932,1.243658969,0,0.924512557,1.058350896,1.426359518,0.992225049,1.132588298,0.649199844,0.327269391,1.362588125
K14815,0.432744768,0.156360959,1.888934418,0.384727404,0.120018292,0.720971031,0,0.767447777,0.206640826,0.507407171,0.253921688,0,0.202363131,0.112808767,0.304383077
K14819,4.29895048,2.154220538,2.493393431,1.603601772,0.691142166,7.442951938,0,7.928463174,4.87745639,3.998047268,3.117392617,2.673870014,3.947864157,1.068359274,8.421106591
K14831,0.411605636,0.069049913,0,0.519687596,0.127201869,1.032600056,1.698457665,0.625678929,0.466408287,0.710576913,0.503455634,0,0.57874308,0.715553422,0.349485095
K14832,0.219203001,0.050052053,0.219875964,0.159375093,0,0.174649639,0,0.037794538,0.102895226,0.187299735,0.099528747,0.18177343,0.555236709,0.019696769,0.311791342
K14833,0.919551346,0.046830881,0.662784006,0.432371664,0.370582797,0.451247871,1.535899011,0.467097095,0.744390343,0.635161181,0.546027089,0.63696802,0.446314675,0.237492142,1.541940586
K14835,16.65463511,3.836433774,18.73807157,9.885343856,1.962307092,11.87166378,0.220976923,10.95139956,10.07121158,17.47131156,10.50574109,6.022337517,14.57208433,5.693553701,27.83585091
K14842,0.912715945,0,0,0.440654646,0.511894111,1.355040304,0,0.793685308,0.957990035,0.762923488,0.720725411,0.148082665,0.589699677,0.313789904,0.571505467
K14843,0.407884066,0,0.438360308,0.62392873,0.098040259,0.20891634,0,0.557589046,0.105500168,0.23104993,0.206364668,0,0.103316198,0.094245299,0.547793214
K14850,0.793129778,1.278356489,0.748766796,0.481062167,0.104664601,0.127447034,0,1.962762316,0.187714264,0.687662117,0.525350388,0.406226771,0.976916479,0.301839675,0.54747821
K14855,2.813105183,2.802914968,0,2.810316146,0.67770329,3.229501516,0,4.023639432,1.927954946,1.691683754,1.92995289,2.550117159,2.364495837,1.360576808,2.618781542
K14857,0.019505352,0,0,0.417714998,0,0,0,0,0,0.018749815,0.021255292,0,0.1581013,0.063096429,0.093636489
K14863,0.389694224,0,0,0.4201707,0.061469686,0.274449433,0,0.655105334,0.426280222,0.298508952,0.35830349,0.227216788,0.444189367,0.210098868,0.155895671
K14938,2.027627762,0.047536874,0.139217947,1.192208489,0.197581134,0.189569458,0,3.142345914,1.102892046,2.302783345,1.211407038,0.323698289,0.773425204,1.730501839,0.869862592
K14940,0,0.073332078,0,0,0.022515059,0,0,0,0,0.017150993,0.009721413,0,0,0.024048381,0
K14950,2.191195272,0.623725584,1.184995239,2.241988129,0.545642949,1.580226743,0,3.563423375,1.682137111,1.647141933,1.365810334,0.40303405,1.491907927,1.020691665,2.398320732
K14951,0.446234681,0.514821117,0.47116278,0.968669397,0.026344151,0.481177577,0,1.101440836,0.71816668,0.827797934,0.324179348,0.146067935,1.142201229,2.962956807,0.814276496
K14977,0.03068842,0.436607908,0,0.049788252,0.189832854,0,0,0,0.108947886,0,0,0,0,0.048096761,0.066964277
K14980,0.042231771,0.82259461,0,0,0.035528351,0,0,0.095560773,0,0,0,0,0,0.039186203,0.019384396
K14986,0.030825422,0.422314197,0,0,0.040979791,0,9.233678578,0.457495461,0.036080144,0.028220384,0,0,0.060571277,0.272724492,0
K14987,0,1.256384737,0,0,0,0,0,0.464939914,0,0,0,0,0,0.193890069,0
K14997,1.890518714,0.295331528,1.430083952,1.256715206,0.172463532,1.069757503,0,2.110975266,1.101126487,2.091325468,1.291667732,1.095332104,1.641821193,1.038664296,1.911144747
K14998,0,0.157663967,0,0,0,0.046920799,0,0.802808128,0,0,0,0,0,0.15462884,0.009161779
K15001,0.919329829,0.515139694,0.411451061,0.959997622,0.15579386,0.653639244,0,1.409475633,0.478995018,0.940938969,0.749554428,1.424379301,1.018572169,0.484948034,1.365263059
K15004,0.376851639,0,0,0.482104555,0.068179405,0.149436135,0,0.846783973,0.322815656,0.202550813,0.287021282,0.302422345,0.19706993,0.161666086,0.635453261
K15009,0.177048578,0,0,0.210642606,0.111709334,0.090683466,0,0,0.427410939,0.170190624,0.072349743,0.412922817,0.089692084,0.262497324,0.141655201
K15011,0,1.814968922,0,0,0.099937812,0,0,0.052187527,0,0.012938469,0.013063148,0.124475284,0.07905065,0.380527636,0.066721653
K15012,0,0.282383224,0,0,0,0.04366241,0,0.220468141,0,0,0.015675778,0.079525876,0,0.291975633,0
K15013,3.485258279,0.726349537,5.61693698,3.851623399,2.061019509,6.094848231,3.198470105,5.747723172,3.890026274,4.766056342,3.281484868,3.319428532,4.506387901,3.632275536,3.033545384
K15015,0.622062571,0,0,0.274892667,0.156996901,0.619028451,0,0.974486208,0.407608115,0.414305747,0.421248698,0.315033006,0.342145864,0.321004098,0.846102688
K15026,0.03559224,0.975241033,1.428060384,0,0,0.243069085,0,0,0.315050331,0.057022632,0.090499335,0.088544274,0.144247062,0.025585494,0.265786047
K15034,0.008990748,0.295619938,0,0,0.04351225,0,3.348038851,0.119909291,0,0,0.018044061,0,0,0.233435964,0
K15042,0.90421238,0,0,1.251818913,0.110645435,2.357770128,0,0.680301693,0.238128952,1.943820059,0.609115933,1.165622123,0.79954086,0.336814748,0.026307394
K15053,0.644034506,0,1.016674182,0.276347639,0.035528351,0.173047349,0,1.332517536,0.458780549,0.375512341,0.276123791,0.433379544,0.42788884,0.295993646,0.709575595
K15078,0.484223023,0,1.362510072,0.493801518,0,0.463823632,0,0.936808888,0.288443994,0.531961951,0.226142367,0.093866608,0.293092164,0.386508727,0.493083951
